Id,Pandal Name,Image Link,District,Locality,street,established,description,address,latitude,Maplink,website
10,Moreshwar Temple,https://www.ashtavinayak.net/images/banner1.jpg,Pune,Morgaon,Morgaon,1500-1600,"Shri Mayureshwar Mandir (Marathi: श्री मयूरेश्वर मंदीर) or Shri Moreshwar Temple (Marathi: श्री मोरेश्वर मंदीर) is a Hindu temple (mandir) dedicated to Ganesha, god of wisdom. It is located in Moragaon (Marathi: मोरगाव) in Pune District, about 65 km away from Pune city in the Indian state of Maharashtra.[1] The temple is the starting and ending point of a pilgrimage of eight revered Ganesha temples called Ashtavinayaka.

Moragon is the foremost centre of worship of the Ganapatya sect, which considers Ganesha as the Supreme Being. A Hindu legend relates the temple to killing of the demon Sindhura by Ganesha. The exact date of building of the temple is unknown, though the Ganapatya saint Moraya Gosavi is known to be associated with it. The temple flourished due to the patronage of the Peshwa rulers and descendants of Moraya Gosavi.","Morgaon, Maharashtra 412304","18.27813166258213, 74.31748295523204","https://www.google.com/maps/place/18%C2%B030'42.8%22N+73%C2%B051'22.1%22E/@18.511882,73.8539602,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe2e3762b986dbda5!8m2!3d18.5118769!4d73.8561489",NA
11,Chintamani Temple,https://allworldtemple.com/wp-content/uploads/2021/09/Chintamani-Theur-Maharashtra-1.jpg,Pune,Theur,Theur,1600-1700,"The Chintamani Temple of Theur is a Hindu temple dedicated to Ganesha Located 25 km (16 mi) from Pune,[1] the temple is ""one of the larger and more famous"" of the Ashtavinayaka, the eight revered shrines of Ganesha in the Indian state of Maharashtra.

The temple lore describes how bhagwan Ganesh retrieved the wish-giving jewel Chintamani for his devotee, the sage Kapila from the greedy king Gana and how he pacifies the uneasy mind of the god Brahma, who meditated on him in Theur. The temple is associated with the Ganapatya saint Morya Gosavi (dated between 13th to 17th century). Though the temple is believed to have existed since antiquity, the current structure of the temple was built by him or his descendant. The Chintamani Temple was also a spiritual magnet for the Peshwa rulers, especially Madhavrao I (1745–1772) who renovated and made additions to the temple structure.","Theur Rd, Theur, Maharashtra 412110","18.52408141443013, 74.04635839751248","https://www.google.com/maps/place/18%C2%B031'26.7%22N+74%C2%B002'46.9%22E/@18.5240865,74.0441697,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe6f4450ed1122512!8m2!3d18.5240814!4d74.0463584",http://www.chinchwaddeosthan.org/
12,Girijatmaj Temple,https://templesinindiainfo.com/wp-content/uploads/2020/04/Lenyadri-Girijatmaj-Ganpati-Temple.jpg,Pune,Junnar,Golegaon,500-600,"One of the Ashtavinayak Temples of Maharashtra; the abode of the Pandavas - all these and much more are some of the laurels associated to the Shri Girijatmaj Lenyadri Ganpati Temple. Legend has it, Shri Girijatmaj Lenyadri Ganpati Temple was the same place where Goddess Parvati meditated for 12 years for a child. That's how Ganesha was born. And it is from the same incident the temple is known as ‘Girijatmaj’ - ‘Girija’ meaning Devi Parvati and ‘Aatmaj’ meaning son.

To reach the main sanctum of the temple, pilgrims will have to climb a flight of 338 stairs. Right in front of the temple, there are two water reservoirs that remain covered with water. There are approximately eighteen rooms in the main temple hall (also known as Sabhamandap), which were used by saints for tapascharya. In one of the rooms, tourists can find the rock statue of Shri Girijatmaj Lenyadri Ganapati. All the 30 Lenyadri Caves including the Shri Girijatmaj Lenyadri Ganpati Temple is under the control of the Archaeological Survey of India. Do not miss to buy the locally harvested grapes, black raisins, Sapottas (Chikus) at the base of the mountains.","Golegaon, Taluka : Junnar, Dist. : Pune JUNNR, Golegaon, Maharashtra 410502","19.24346919030854, 73.88767361127455","https://www.google.com/maps/place/19%C2%B014'36.5%22N+73%C2%B053'15.6%22E/@19.2434743,73.8854849,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x6024c41075c2c051!8m2!3d19.2434692!4d73.8876736",http://www.lenyadriganpati.com/
13,Vighnahar Temple,https://www.templepurohit.com/wp-content/uploads/2016/03/Vigneshwara-Temple-Ozar.jpg,Pune,Ozar,Ozar,unknown,"The Vigneshwara Temple or Vighnahar Ganapati Temple[1] of Ozar (also spelt as Ojhar or Ojzar) is a Hindu temple dedicated to Ganesha, the elephant-headed god of wisdom. The temple is one of the Ashtavinayaka, the eight revered shrines of Ganesha in Maharashtra, India. The Ganesha form worshipped here is called Vigneshwara (spelt also as Vigneshvar(a), Vigneshwar : ""Lord of obstacles"") or Vignahar (spelt also as Vignahara, ""Remover of obstacles"") and is associated with the legend of Ganesha defeating Vignasura, the demon of obstacles.","5XQ5+6VC, Ozar, Maharashtra 410504","19.188056954229737, 73.95951602264671","https://www.google.com/maps/place/19%C2%B011'17.0%22N+73%C2%B057'34.3%22E/@19.1880621,73.9573273,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8aa63610e27ca639!8m2!3d19.188057!4d73.959516",NA
14,Pitali Ganapati,http://4.bp.blogspot.com/-gBaxGuxXjN0/VANM33zMy3I/AAAAAAAAAO8/gLIy_mwUkKE/s1600/IMG_9839.JPG,Pune,Alandi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","MVHW+2H6, Bharav Rasta, Alandi, Maharashtra 412105","18.677835968361254, 73.8963926708955","https://www.google.com/maps/place/18%C2%B040'40.2%22N+73%C2%B053'47.0%22E/@18.6778411,73.894204,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x79d999bb3c64ef21!8m2!3d18.677836!4d73.8963927",NA
15,Mahaganapati Temple at Ranjangaon,https://www.ashtavinayak.in/images/ranjangaon/ranjangaon-mahaganpati-ganpati-ashtavinayak.jpg,Pune,Shirur ,Ranjangaon,900-1000,"Ranjangaon Ganpati is one among the Ashtavinayak, celebrating eight instances of legends related to Ganesha. This temple's Ganpati idol was inaugurated and donated by the ""Khollam"" family, a goldsmith family based in Ranjangaon. The temple was built between the 9th and 10th century. The main temple looks like it was built in the Peshwa period. Nagarkhana is situated above the entrance gate. The temple facing east has huge and beautiful entrance gate.

Madhavrao Peshwa made a room in the basement of the temple to keep the idol of lord Ganesh. Later on Sardar Kibe of Indore renovated it. The idol of these lord Ganesh is also named as 'Mahotkat', and it is said that the idol has 10 trunks and 20 hands.

While going from the Pune - Nagar highway the route is Pune - Koregaon - then via Shikrapur; Rajangaon is 21 km before Shirur. From Pune it is 50 km.

In early 1990s, Govt of Maharashtra established an industrial zone (MIDC) on the land acquired from the nearby villages and the industrial establishment is known as Ranjangaon MIDC. It host many multinational manufacturing companies like Whirlpool, LG to name a few.

References","Maharashtra Pune, Ranjangaon, Maharashtra 412209","18.753426765031517, 74.24061022635256","https://www.google.com/maps/place/18%C2%B045'12.3%22N+74%C2%B014'26.2%22E/@18.7534319,74.2384215,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xcf491280c47011d9!8m2!3d18.7534268!4d74.2406102",http://ranjangaonmahaganpati.org/homepage.aspx
16,"Achanak Mitra Mandal, Ganapati Mandir",http://4.bp.blogspot.com/-gBaxGuxXjN0/VANM33zMy3I/AAAAAAAAAO8/gLIy_mwUkKE/s1600/IMG_9839.JPG,Pune,Shivaji nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","295, Jethiram Bhima Shelar Path, Gokhalenagar, Pune, Maharashtra 411016","18.52542358094027, 73.82766396369023","https://www.google.com/maps/place/18%C2%B031'31.5%22N+73%C2%B049'39.6%22E/@18.5254287,73.8254753,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xaec892378fbc6608!8m2!3d18.5254236!4d73.827664",NA
17,Shree Seva Mandal Ganpati Mandir,https://content.jdmagicbox.com/comp/pune/m8/020pxx20.xx20.180326231352.k3m8/catalogue/shree-seva-mandal-ganpati-mandir-shivaji-nagar-pune-temples-sijecdg56f-250.jpg,Pune,Shivaji nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Sambhaji Housing Society, Off, Senapati Bapat Rd, Chaitanya Society, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016","18.53094311148892, 73.83052948883068","https://www.google.com/maps/place/Sambhaji+Housing+Society,+Senapati+Bapat+Rd,+Laxmi+Society,+Model+Colony,+Shivajinagar,+Pune,+Maharashtra+411016/@18.5307346,73.8280833,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2bf79d5cfc18b:0xe4711d4d7b179466!8m2!3d18.5307295!4d73.830272",NA
18,Akhil Navipeth Hatti Ganpati Mandal,https://i0.wp.com/3.bp.blogspot.com/-S2HjZ2G9wVI/UFwCBe1gTQI/AAAAAAAAAPM/BF-ViCYDsLo/s640/29)+Hatti+Ganpati.jpg,Pune,Sadashiv peth,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","1159, Hatti Ganapati Rd, Pantancha Gate, Sadashiv Peth, Pune, Maharashtra 411030","18.51139126720781, 73.84660847108009","https://www.google.com/maps/place/18%C2%B030'41.0%22N+73%C2%B050'47.8%22E/@18.5113964,73.8444198,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xe08b6a06ec61e894!8m2!3d18.5113913!4d73.8466085",NA
19,Ganpati Mandir (Chitrashala Mitra Mandal),https://images.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/09/09/Pictures/ht-pune_730a28f2-d2ef-11e9-bf18-74205beb354d.JPG,Pune,Sadashiv peth,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","562 Sadashiv Peth, Chitrashala Building, Chitrashala Chowk, Laxmi Rd, opp. Bhanuvilas Theater, Sadashiv Peth, Pune, Maharashtra 411030","18.51406517128629, 73.84828397376968","https://www.google.com/maps/place/Ganpati+Mandir+(Chitrashala+Mitra+Mandal)/@18.5137752,73.8461597,17z/data=!4m9!1m2!2m1!1s562+Sadashiv+Peth,+Chitrashala+Building,+Chitrashala+Chowk,+Laxmi+Rd,+opp.+Bhanuvilas+Theater,+Sadashiv+Peth,+Pune,+Maharashtra+411030!3m5!1s0x3bc2c1aa6b32a6e3:0x357005f201f0f205!8m2!3d18.5138085!4d73.8482684!15sCoYBNTYyIFNhZGFzaGl2IFBldGgsIENoaXRyYXNoYWxhIEJ1aWxkaW5nLCBDaGl0cmFzaGFsYSBDaG93aywgTGF4bWkgUmQsIG9wcC4gQmhhbnV2aWxhcyBUaGVhdGVyLCBTYWRhc2hpdiBQZXRoLCBQdW5lLCBNYWhhcmFzaHRyYSA0MTEwMzCSAQxoaW5kdV90ZW1wbGXgAQA",NA
20,Balvikas ganesh mandal ganapati temple,http://hindupad.com/wp-content/uploads/2011/09/kasba-ganpati-temple-pune-300x281.jpg,Pune,Narayan Peth,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","GV82+X9G, Prabhune Rd, Banashankari Society, Narayan Peth, Pune, Maharashtra 411030","18.517754244681832, 73.85108825874988","https://www.google.com/maps/place/Prabhune+Rd,+Banashankari+Society,+Shaniwar+Peth,+Pune,+Maharashtra+411030/@18.517533,73.8488486,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c0707e7748d3:0x8906e969cad119df!8m2!3d18.5175279!4d73.8510373",NA
21,Ganaraj Mitra Mandal Ganpati Mandir,https://images.hindustantimes.com/rf/image_size_640x362/HT/p2/2018/09/19/Pictures/ht-pune_5f6b1856-bbfd-11e8-aa2b-bfb0450a5721.jpg,Pune,Laxmi nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","80, Shahu College Rd, Laxmi Nagar, Parvati Paytha, Pune, Maharashtra 411009","18.493067308467644, 73.84891369678148","https://www.google.com/maps/place/80,+Shahu+College+Rd,+near+Dattawadi+Police+Station,+Laxmi+Nagar,+Parvati+Paytha,+Pune,+Maharashtra+411009/@18.4928384,73.846725,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c005c1552423:0x1dfc78616dcbb114!8m2!3d18.4928333!4d73.8489137",NA
22,Aranyeshwar Mitra Mandal Ganpati Mandir,https://content.jdmagicbox.com/comp/pune/m4/020pxx20.xx20.180222213821.u6m4/catalogue/dashbhuja-ganpati-mandir-parvati-nagar-pune-temples-t3htufpvrl.jpg?clr=,Pune,Laxmi nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","77, Adhyapak Society, Parvati Paytha, Pune, Maharashtra 411009","18.483282193942664, 73.85111065260458","https://www.google.com/maps/place/77,+Adhyapak+Society,+Parvati+Paytha,+Pune,+Maharashtra+411009/@18.4831245,73.8489756,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2eaa8299cafb5:0x92ba5450d0e438e1!8m2!3d18.4831194!4d73.8511643",NA
23,JedheNagar Ganpati Mandir,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXpA9cVNi_LiF0RSrMeKg1rOE6SCpD4EssFmAWMrWcl-ZYoL2ZXVvxAALN55vou_Mzr5g&usqp=CAU,Pune,Bibwewadi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","FVG6+C39, Sangam Society, Bibwewadi, Pune, Maharashtra 411037","18.47622065231497, 73.86024512561664","https://www.google.com/maps/place/7JCMFVG6%2BC39/@18.4760426,73.8580457,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2938cd77e4f6125e!8m2!3d18.4760375!4d73.8602344",NA
24,Ankush mitra mandal (Trust),http://4.bp.blogspot.com/-gBaxGuxXjN0/VANM33zMy3I/AAAAAAAAAO8/gLIy_mwUkKE/s1600/IMG_9839.JPG,Pune,Bibwewadi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","FV96+5F5, bibvewadi,, Lower Indira Nagar, Bibwewadi, Pune, Maharashtra 411037","18.467988771129292, 73.86110047057177","https://www.google.com/maps/place/Ankush+mitra+mandal+(Trust)/@18.4682228,73.8629244,16z/data=!4m9!1m2!2m1!1sFV96%2B5F5,+bibvewadi,,+Lower+Indira+Nagar,+Bibwewadi,+Pune,+Maharashtra+411037!3m5!1s0x3bc2eabc3c3a7ee1:0x6a6e854192297373!8m2!3d18.4678929!4d73.8612045!15sCk1GVjk2KzVGNSwgYmlidmV3YWRpLCwgTG93ZXIgSW5kaXJhIE5hZ2FyLCBCaWJ3ZXdhZGksIFB1bmUsIE1haGFyYXNodHJhIDQxMTAzN5IBDGhpbmR1X3RlbXBsZeABAA",NA
25,Shivshakti Mitra Mandal,https://www.ganapatibappa.com/wp-content/uploads/2014/07/shiv-shakti-mitra-mandal.jpg,Pune,Dhankawadi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","FR8W+4C9, Shriram Nagar, Kamal Vihar, Dhankawadi, Pune, Maharashtra 411043","18.465338369788054, 73.84605575260437","https://www.google.com/maps/place/7JCMFR8W%2B4C9/@18.4652926,73.8439207,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8505ce4d41eac221!8m2!3d18.4652875!4d73.8461094",NA
26,Satya Sangram Ganesh Temple,http://4.bp.blogspot.com/-gBaxGuxXjN0/VANM33zMy3I/AAAAAAAAAO8/gLIy_mwUkKE/s1600/IMG_9839.JPG,Pune,Dhankawadi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","FR8X+665, Satya Sangram Mitra Mandal, Chavan Chalel, Savarkar Chowk, Gaon, Shriram Nagar, Dhankawadi, Pune, Maharashtra 411043","18.465664457766817, 73.8483715888297","https://www.google.com/maps/place/Satya+Sangram+Ganesh+Temple/@18.4655271,73.8459254,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2ebab39307301:0x88983f3673bf887d!8m2!3d18.4655246!4d73.8481282",NA
